,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
6,85059,2016/2017,Crystal Palace,EPL,34(1),3025,7,,8,0,1.4,79.9,7.38,2.1,,1.6,0,0.3,1.2,7.38,1.1,4.1,3.5,0.2,3.7,3.3,19.9,0.7,0.5,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
7,85059,2015/2016,Crystal Palace,EPL,30(4),2497,2,,5,0,0.9,76.7,7.03,1.4,,1.2,0,0.2,0.4,7.03,1.2,3.7,2.6,0.2,2.5,2.4,16.3,0.8,0.6,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
8,85059,2014/2015,Crystal Palace,EPL,23(8),1982,4,,1,0,1.3,73.3,6.97,1.3,,1.4,0,0.3,0.7,6.97,0.5,2.8,1.5,0.2,1.4,2,13.1,0.6,0.3,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
9,85059,2013/2014,Cardiff,EPL,5(7),585,0,,1,0,0.8,79.3,6.58,1.3,,0.5,0,0,0.4,6.58,0.6,2.7,0.9,0.3,3.2,1.4,11.3,0.3,0.3,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
10,85059,2013/2014,Man Utd,EPL,0(2),28,0,,0,0,0.5,63.6,6.30,2.5,,1,0,0,0.5,6.30,0,0.5,1,0,1.5,0.5,5.5,0,0,Wilfried Zaha,,Crystal Palace,11,180cm,10-11-1992,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",6.52,6.55,5.96,6.14,6.76,6.32,6.55,7.64,7.36,6.25
0,67491,2022/2023,Crystal Palace,EPL,30(7),2631,4,,5,0,0.8,80.1,6.81,1.7,,1.3,0.1,0.8,0.8,6.81,0.8,1.7,2.4,0.1,2.2,2.8,21.6,0.3,0.2,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
1,67491,2021/2022,Crystal Palace,EPL,23(8),2024,3,,2,0,1.1,83.6,6.68,1.5,,1.2,0,0.4,0.5,6.68,0.7,1.1,2.1,0.1,2.5,2.7,21.6,0.3,0.3,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
2,67491,2020/2021,Crystal Palace,EPL,23(10),2098,1,,4,0,0.8,81,6.52,1.1,,1.4,0,0.3,0.8,6.52,0.4,1.6,1.9,0.2,1.8,2.5,19.2,0.1,0.3,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
3,67491,2019/2020,Crystal Palace,EPL,37,3162,9,,6,0,1.6,81.3,6.93,1.3,,1.6,0,0.5,0.9,6.93,0.8,2,2.8,0.2,2.6,3.1,22,0,0.5,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
4,67491,2018/2019,Crystal Palace,EPL,14(6),1187,1,,3,0,1.4,77.7,6.50,1.9,,1.6,0,0.3,0.7,6.50,0.8,0.6,1.3,0.5,1.6,2.4,13.3,0,0.3,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
