,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,83078,2022/2023,Newcastle,EPL,37,3258,1,,5,0,0.4,75.9,7.45,1.9,,1.2,0.2,2,1.2,7.45,3,0.5,0.8,0.2,0.2,0.7,54.9,3.6,3.9,Kieran Trippier,,Newcastle,2,178cm,19-09-1990,England,"Defender (Left, Right), Midfielder (Right)",7.48,6.78,6.81,7.46,6.45,7.5,6.9,6.87,7.7,7.34
1,83078,2021/2022,Newcastle,EPL,5(1),430,2,,0,0,0.3,65,7.38,2.8,,0.5,0.2,1.7,1,7.38,1.2,0.2,0.5,0,0.2,0.2,33.8,2,2.8,Kieran Trippier,,Newcastle,2,178cm,19-09-1990,England,"Defender (Left, Right), Midfielder (Right)",7.48,6.78,6.81,7.46,6.45,7.5,6.9,6.87,7.7,7.34
2,83078,2018/2019,Tottenham,EPL,26(1),2278,1,,2,0,0.3,78.9,7.10,2.5,,0.7,0.6,2.3,0.9,7.10,1.8,0.3,0.9,0.2,0.5,0.7,57.1,2,2.6,Kieran Trippier,,Newcastle,2,178cm,19-09-1990,England,"Defender (Left, Right), Midfielder (Right)",7.48,6.78,6.81,7.46,6.45,7.5,6.9,6.87,7.7,7.34
3,83078,2017/2018,Tottenham,EPL,21(3),1914,0,,1,0,0.3,81.4,7.04,2.2,,0.8,0.5,1.9,1,7.04,1.7,0.5,0.8,0.1,0.3,0.8,52.8,1,3.1,Kieran Trippier,,Newcastle,2,178cm,19-09-1990,England,"Defender (Left, Right), Midfielder (Right)",7.48,6.78,6.81,7.46,6.45,7.5,6.9,6.87,7.7,7.34
4,83078,2016/2017,Tottenham,EPL,6(6),566,0,,1,0,0.3,76.5,6.86,1.4,,0.7,0.4,1.1,0.5,6.86,1.2,0,0.4,0.1,0.3,0.2,28.7,0.6,1,Kieran Trippier,,Newcastle,2,178cm,19-09-1990,England,"Defender (Left, Right), Midfielder (Right)",7.48,6.78,6.81,7.46,6.45,7.5,6.9,6.87,7.7,7.34
5,83078,2015/2016,Tottenham,EPL,5(1),458,1,,1,0,0.3,74,7.26,2.3,,0.5,0,2,0.3,7.26,1,0.5,1.7,0,0.7,1.2,44.2,1.2,1.8,Kieran Trippier,,Newcastle,2,178cm,19-09-1990,England,"Defender (Left, Right), Midfielder (Right)",7.48,6.78,6.81,7.46,6.45,7.5,6.9,6.87,7.7,7.34
6,83078,2014/2015,Burnley,EPL,38,3416,0,,2,0,0.3,60.7,7.15,1.9,,0.4,0.2,4,1.2,7.15,1.7,0.7,1.2,0.1,0.5,0.8,44.3,2.4,5.7,Kieran Trippier,,Newcastle,2,178cm,19-09-1990,England,"Defender (Left, Right), Midfielder (Right)",7.48,6.78,6.81,7.46,6.45,7.5,6.9,6.87,7.7,7.34
0,201755,2022/2023,Newcastle,EPL,30(2),2664,6,,12,0,1.6,82.3,7.24,2.2,,2,0.1,1.2,1.1,7.24,0.8,1.7,1.1,0,1.6,2.3,38.4,0.1,1.1,Joelinton,,Newcastle,7,186cm,14-08-1996,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",6.72,8.57,7.86,6.26,9.19,8.07,6.71,6.39,7.4,6.97
1,201755,2021/2022,Newcastle,EPL,30(5),2559,4,,8,0,1.3,77.6,6.82,2.1,,1.8,0,1.3,1,6.82,0.8,1.1,0.9,0.1,1.7,2.4,26,0.1,0.7,Joelinton,,Newcastle,7,186cm,14-08-1996,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",6.72,8.57,7.86,6.26,9.19,8.07,6.71,6.39,7.4,6.97
2,201755,2020/2021,Newcastle,EPL,23(8),1990,4,,3,0,1.4,73,6.75,1.1,,0.8,0,0.7,0.7,6.75,0.5,1.2,1.2,0.2,1.4,2.6,18.8,0,0.3,Joelinton,,Newcastle,7,186cm,14-08-1996,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",6.72,8.57,7.86,6.26,9.19,8.07,6.71,6.39,7.4,6.97
