,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,361330,2022/2023,Chelsea,EPL,14(2),1244,1,,4,0,1,90.7,7.07,1.9,,0.6,0.2,1.3,0.3,7.07,1.3,1.4,1.1,0.3,0.9,0.8,53.3,1.1,2.4,Reece James,,Chelsea,24,182cm,08-12-1999,England,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",6.57,7.55,7.62,6.14,6.83,7.38,7.84,6.16,6.28,7.02
1,361330,2021/2022,Chelsea,EPL,22(4),1868,5,,4,1,1.4,89.6,7.24,1.3,,0.8,0.1,0.7,0.5,7.24,1.8,1.4,1.2,0.2,0.8,1,53,0.9,1.7,Reece James,,Chelsea,24,182cm,08-12-1999,England,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",6.57,7.55,7.62,6.14,6.83,7.38,7.84,6.16,6.28,7.02
2,361330,2020/2021,Chelsea,EPL,25(7),2367,1,,3,0,1.1,88.4,6.94,1.7,,1,0.1,1.3,0.7,6.94,1.3,1.1,0.5,0,0.7,0.8,53,1.1,2.3,Reece James,,Chelsea,24,182cm,08-12-1999,England,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",6.57,7.55,7.62,6.14,6.83,7.38,7.84,6.16,6.28,7.02
3,361330,2019/2020,Chelsea,EPL,16(8),1514,0,,1,0,0.8,85.9,6.90,1.5,,0.9,0.1,0.9,0.8,6.90,1,1.3,0.9,0,0.9,0.7,42.3,1.1,1.7,Reece James,,Chelsea,24,182cm,08-12-1999,England,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",6.57,7.55,7.62,6.14,6.83,7.38,7.84,6.16,6.28,7.02
0,28550,2022/2023,Chelsea,EPL,25(1),2262,0,,2,0,0.5,91.3,6.99,1.5,,0.4,0.5,4.1,0.3,6.99,0.2,0.1,0.5,0,0,0.2,75.7,0,4.4,Thiago Silva,,Chelsea,6,183cm,22-09-1984,Brazil,Defender (Centre),6.82,6.57,6.66,6.7,6.41,6.73,7.35,6.61,6.56,6.74
1,28550,2021/2022,Chelsea,EPL,28(4),2651,3,,2,0,0.6,92.8,7.08,1,,0.4,0.6,3,0.3,7.08,0.2,0.2,0.4,0,0.1,0.2,81.9,0,5.3,Thiago Silva,,Chelsea,6,183cm,22-09-1984,Brazil,Defender (Centre),6.82,6.57,6.66,6.7,6.41,6.73,7.35,6.61,6.56,6.74
2,28550,2020/2021,Chelsea,EPL,23,1938,2,,3,1,0.6,93,6.91,0.9,,0.6,0.6,3.6,0.3,6.91,0.2,0.1,0.7,0,0.1,0.3,84.3,0,5,Thiago Silva,,Chelsea,6,183cm,22-09-1984,Brazil,Defender (Centre),6.82,6.57,6.66,6.7,6.41,6.73,7.35,6.61,6.56,6.74
0,114075,2022/2023,Chelsea,EPL,6(1),520,0,,1,0,1.1,82.5,6.95,2.3,,0.7,0,0.3,0.6,6.95,1.9,1.7,0.3,0.1,0.7,1.9,46.4,0.4,1.4,N'Golo Kanté,,Chelsea,7,168cm,29-03-1991,France,Midfielder (Centre),7.58,7.8,6.6,6.24,7.33,5.92,6.62,7.22,6.15,7.29
1,114075,2021/2022,Chelsea,EPL,21(5),1778,2,,2,0,0.7,86.7,7.01,2.3,,0.8,0,0.3,0.6,7.01,0.9,1.3,0.4,0,1.1,1.3,49.7,0,1.3,N'Golo Kanté,,Chelsea,7,168cm,29-03-1991,France,Midfielder (Centre),7.58,7.8,6.6,6.24,7.33,5.92,6.62,7.22,6.15,7.29
2,114075,2020/2021,Chelsea,EPL,24(6),2146,0,,7,0,0.3,86.5,6.86,2.6,,1.2,0,0.9,1,6.86,0.7,0.9,0.2,0,0.5,1.6,51,0,2.3,N'Golo Kanté,,Chelsea,7,168cm,29-03-1991,France,Midfielder (Centre),7.58,7.8,6.6,6.24,7.33,5.92,6.62,7.22,6.15,7.29
3,114075,2019/2020,Chelsea,EPL,20(2),1733,3,,4,0,0.8,84.9,6.90,2,,2,0,1.4,0.9,6.90,1.2,1.1,0.5,0,1.3,1.5,51.5,0.5,1.8,N'Golo Kanté,,Chelsea,7,168cm,29-03-1991,France,Midfielder (Centre),7.58,7.8,6.6,6.24,7.33,5.92,6.62,7.22,6.15,7.29
