Team,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_Conceded,Ast_Conceded,G-PK_Conceded,PK_Conceded,PKatt_Conceded,CrdY_Conceded,CrdR_Conceded,Pts/MP
Chelsea,0.25,0.5600000000000002,0.6061538461538462,0.7901234567901234,0.7,0.7591240875912408,0.8333333333333334,0.2,0.23076923076923078,0.0,0.16666666666666666,0.044444444444444446,0.10784313725490197,0.2,0.18181818181818182,0.15384615384615385,0.8666666666666667,0.9269406392694065
Tottenham,0.25,0.18000000000000044,0.7723076923076921,0.8024691358024691,0.8,0.8102189781021898,0.782051282051282,0.7,0.6153846153846154,0.0,0.05,0.022222222222222223,0.029411764705882353,0.07272727272727272,0.18181818181818182,0.15384615384615385,0.9666666666666667,0.8401826484018264
Manchester City,0.3333333333333333,0.8200000000000003,0.9107692307692307,0.691358024691358,0.7166666666666667,0.708029197080292,0.6666666666666666,0.7,0.6153846153846154,0.0,0.26666666666666666,0.3333333333333333,0.29411764705882354,0.3090909090909091,0.18181818181818182,0.38461538461538464,1.0,0.7442922374429224
Liverpool,0.16666666666666666,0.3400000000000006,0.8184615384615384,0.7160493827160493,0.6833333333333333,0.708029197080292,0.6923076923076923,0.7,0.5384615384615384,0.0,0.3333333333333333,0.3111111111111111,0.3235294117647059,0.36363636363636365,0.2727272727272727,0.38461538461538464,0.6833333333333333,0.7214611872146119
Arsenal,0.6666666666666666,0.5,0.723076923076923,0.6666666666666666,0.7333333333333333,0.7007299270072993,0.6794871794871795,0.4,0.38461538461538464,0.0,0.35,0.2,0.28431372549019607,0.2545454545454545,0.9090909090909091,0.7692307692307693,0.75,0.7077625570776256
Manchester Utd,0.8333333333333334,0.46000000000000013,0.6492307692307692,0.43209876543209874,0.43333333333333335,0.4306569343065693,0.44871794871794873,0.3,0.23076923076923078,0.0,0.1,0.08888888888888889,0.08823529411764706,0.09090909090909091,0.36363636363636365,0.38461538461538464,0.65,0.6392694063926941
Everton,0.5,0.6200000000000003,0.5138461538461538,0.48148148148148145,0.5666666666666667,0.5182481751824818,0.5,0.3,0.23076923076923078,0.0,0.35,0.37777777777777777,0.3627450980392157,0.38181818181818183,0.2727272727272727,0.38461538461538464,0.45,0.5433789954337901
Southampton,0.4166666666666667,0.3200000000000003,0.5846153846153845,0.24691358024691357,0.26666666666666666,0.24817518248175183,0.2564102564102564,0.3,0.38461538461538464,0.0,0.43333333333333335,0.4222222222222222,0.43137254901960786,0.41818181818181815,0.5454545454545454,0.6923076923076923,0.5833333333333334,0.36073059360730597
Bournemouth,0.5,0.5200000000000002,0.4953846153846153,0.41975308641975306,0.36666666666666664,0.39416058394160586,0.38461538461538464,0.7,0.6923076923076923,0.0,0.6833333333333333,0.7333333333333333,0.7156862745098039,0.7636363636363637,0.18181818181818182,0.38461538461538464,0.9166666666666666,0.36073059360730597
West Brom,0.16666666666666666,1.0,0.058461538461538405,0.2962962962962963,0.36666666666666664,0.32116788321167883,0.3333333333333333,0.1,0.0,0.0,0.4666666666666667,0.5555555555555556,0.5098039215686274,0.509090909090909,0.2727272727272727,0.23076923076923078,0.38333333333333336,0.34703196347031967
West Ham,0.6666666666666666,0.5400000000000006,0.36,0.3333333333333333,0.2833333333333333,0.30656934306569344,0.34615384615384615,0.3,0.23076923076923078,0.0,0.7,0.7111111111111111,0.7156862745098039,0.7272727272727273,0.45454545454545453,0.6153846153846154,0.85,0.34703196347031967
