Team,final_standing_2023,final_point_2023,champions,europa,europa_conference,relegation
Manchester City,1,89,1,0,0,0
Arsenal,2,84,1,0,0,0
Manchester Utd,3,75,1,0,0,0
Newcastle Utd,4,71,1,0,0,0
Liverpool,5,67,0,1,0,0
Brighton,6,62,0,1,0,0
Aston Villa,7,61,0,0,1,0
Tottenham,8,60,0,0,0,0
Brentford,9,59,0,0,0,0
Fulham,10,52,0,0,0,0
Crystal Palace,11,45,0,0,0,0
Chelsea,12,44,0,0,0,0
Wolves,13,41,0,0,0,0
West Ham,14,40,0,0,0,0
Bournemouth,15,39,0,0,0,0
Nottm Forest,16,38,0,0,0,0
Everton,17,36,0,0,0,0
Leicester City,18,34,0,0,0,1
Leeds United,19,31,0,0,0,1
Southampton,20,25,0,0,0,1
