,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,102173,2022/2023,Nottingham Forest,EPL,15(1),1419,0,,4,0,0.8,73,7.06,2.6,,0.9,0.3,5.6,1.1,7.06,0.4,0.9,0.7,0.3,0.3,0.8,34.8,0,1.8,Felipe,,Nottingham Forest,18,190cm,16-05-1989,Brazil,Defender (Centre),7.24,7.33,6.67,7.42,7.23,6.28,6.47,6.75,7,7.45
0,83683,2022/2023,Nottingham Forest,EPL,21(2),1859,1,,2,0,0.3,72.7,6.86,2.7,,0.7,0.1,2.8,0.4,6.86,0.4,0.7,0.8,0,0.7,1.3,30.7,0.3,0.8,Sèrge Aurier,,Nottingham Forest,24,176cm,24-12-1992,Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)",6.81,6.48,6.41,6.75,N/A,6.72,6.58,6.66,6.81,7.22
1,83683,2020/2021,Tottenham,EPL,19,1609,2,,0,0,0.8,80.8,7.06,2.9,,1.2,0.2,2.2,1.3,7.06,0.9,0.9,0.8,0.1,0.7,1.5,41.7,0.5,1.1,Sèrge Aurier,,Nottingham Forest,24,176cm,24-12-1992,Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)",6.81,6.48,6.41,6.75,N/A,6.72,6.58,6.66,6.81,7.22
2,83683,2019/2020,Tottenham,EPL,31(2),2706,1,,2,1,0.4,79.1,7.06,2.8,,1.2,0.2,2.5,0.9,7.06,1,1.2,0.7,0.2,0.8,1.6,38.8,0.6,1,Sèrge Aurier,,Nottingham Forest,24,176cm,24-12-1992,Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)",6.81,6.48,6.41,6.75,N/A,6.72,6.58,6.66,6.81,7.22
3,83683,2018/2019,Tottenham,EPL,6(2),564,0,,1,0,0.5,75.5,6.85,2.5,,2.1,0.5,2.1,0.9,6.85,0.8,1,0.3,0.1,0.9,1.5,33.6,0.9,0.6,Sèrge Aurier,,Nottingham Forest,24,176cm,24-12-1992,Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)",6.81,6.48,6.41,6.75,N/A,6.72,6.58,6.66,6.81,7.22
4,83683,2017/2018,Tottenham,EPL,16(1),1429,2,,1,1,0.9,79.4,7.28,2.8,,1.2,0.4,2.8,1.2,7.28,0.9,0.9,0.9,0.1,0.9,0.9,45.6,0.4,1.5,Sèrge Aurier,,Nottingham Forest,24,176cm,24-12-1992,Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)",6.81,6.48,6.41,6.75,N/A,6.72,6.58,6.66,6.81,7.22
0,332867,2022/2023,Nottingham Forest,EPL,33(1),2889,5,,4,0,1.7,69,6.84,0.8,,0.9,0,0.2,0.6,6.84,1.9,1.4,0.8,0.1,1.3,2.6,25.8,1,1,Morgan Gibbs-White,,Nottingham Forest,10,171cm,27-01-2000,England,"Attacking Midfielder (Centre, Left, Right), Forward",8.15,6.42,6.13,6.2,8.3,7.76,6.2,8.39,6.98,6.61
1,332867,2022/2023,Wolves,EPL,2,180,0,,1,0,1.5,83.7,6.52,1.5,,1.5,0,1,0.5,6.52,0.5,1,1.5,0,0.5,1.5,43,1,1,Morgan Gibbs-White,,Nottingham Forest,10,171cm,27-01-2000,England,"Attacking Midfielder (Centre, Left, Right), Forward",8.15,6.42,6.13,6.2,8.3,7.76,6.2,8.39,6.98,6.61
2,332867,2021/2022,Wolves,EPL,0(2),7,0,,1,0,1,77.8,5.94,0,,1,0,0,0,5.94,0,0,0,0,0,0,4.5,0,0,Morgan Gibbs-White,,Nottingham Forest,10,171cm,27-01-2000,England,"Attacking Midfielder (Centre, Left, Right), Forward",8.15,6.42,6.13,6.2,8.3,7.76,6.2,8.39,6.98,6.61
3,332867,2020/2021,Wolves,EPL,4(7),412,1,,1,0,0.9,86,6.38,0.8,,0.5,0,0.1,0.6,6.38,0.7,0.7,0.9,0.1,0.5,1.6,20.2,0,0.8,Morgan Gibbs-White,,Nottingham Forest,10,171cm,27-01-2000,England,"Attacking Midfielder (Centre, Left, Right), Forward",8.15,6.42,6.13,6.2,8.3,7.76,6.2,8.39,6.98,6.61
4,332867,2019/2020,Wolves,EPL,1(6),126,0,,0,0,0.3,79.7,6.10,0,,0.3,0,0,0,6.10,0.4,0.1,0.1,0,0,1,11.3,0,0.3,Morgan Gibbs-White,,Nottingham Forest,10,171cm,27-01-2000,England,"Attacking Midfielder (Centre, Left, Right), Forward",8.15,6.42,6.13,6.2,8.3,7.76,6.2,8.39,6.98,6.61
