,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,344314,2022/2023,Bournemouth,EPL,19(4),1749,5,,1,0,1.6,77.3,6.95,1.4,,0.9,0.1,0.7,0.9,6.95,0.8,2,1.2,0.2,1.7,2,25.9,0.9,0.8,Marcus Tavernier,,Bournemouth,7,178cm,22-03-1999,England,"Midfielder (Centre, Left, Right)",8.69,8.24,6.21,7.42,7.68,6.26,6.18,7.29,6.11,8.52
0,136459,2022/2023,Bournemouth,EPL,31(1),2783,6,,1,0,2.3,69.8,6.82,0.5,,1.2,0.1,1.3,0.5,6.82,0.7,1.4,1.6,0.3,2.3,4,15.5,0,0.3,Dominic Solanke,,Bournemouth,9,187cm,14-09-1997,England,Forward,8.11,6.37,6.94,8.55,6.9,6.83,8.06,6.17,5.93,7.04
1,136459,2019/2020,Bournemouth,EPL,17(15),1645,3,,1,0,1,69.6,6.41,0.3,,0.5,0,0.5,0.9,6.41,0.5,0.8,0.7,0.1,1.7,1.6,13.5,0,0.3,Dominic Solanke,,Bournemouth,9,187cm,14-09-1997,England,Forward,8.11,6.37,6.94,8.55,6.9,6.83,8.06,6.17,5.93,7.04
2,136459,2018/2019,Bournemouth,EPL,2(8),342,0,,0,0,1.1,71.7,6.50,0.8,,0.2,0.1,0.9,0.7,6.50,0.8,1,0.9,0.1,0.9,1.5,9.9,0,0.2,Dominic Solanke,,Bournemouth,9,187cm,14-09-1997,England,Forward,8.11,6.37,6.94,8.55,6.9,6.83,8.06,6.17,5.93,7.04
3,136459,2017/2018,Liverpool,EPL,5(16),583,1,,0,0,1,75.1,6.40,0.3,,0.6,0,0.3,0.1,6.40,0.7,0.4,0.1,0,0.8,1.6,9.4,0,0.1,Dominic Solanke,,Bournemouth,9,187cm,14-09-1997,England,Forward,8.11,6.37,6.94,8.55,6.9,6.83,8.06,6.17,5.93,7.04
0,145277,2022/2023,Bournemouth,EPL,33(2),2697,7,,5,0,1.1,79,6.82,1.7,,0.8,0.1,1.4,0.8,6.82,0.7,0.7,0.9,0.1,1,1.2,27.1,0.2,0.6,Philip Billing,,Bournemouth,29,193cm,11-06-1996,Denmark,"Midfielder (Centre), Forward",5.99,7.52,6.71,8.45,6.6,6.19,7,6.27,6.42,5.79
1,145277,2019/2020,Bournemouth,EPL,29(5),2536,1,,8,0,1,74.8,6.90,2.1,,1.1,0,2.8,1.4,6.90,0.4,0.6,0.7,0.1,0.8,1.5,33.9,0,1.3,Philip Billing,,Bournemouth,29,193cm,11-06-1996,Denmark,"Midfielder (Centre), Forward",5.99,7.52,6.71,8.45,6.6,6.19,7,6.27,6.42,5.79
2,145277,2018/2019,Huddersfield,EPL,25(2),2192,2,,7,0,1.6,78.6,7.08,2.7,,1.4,0.2,1.5,0.9,7.08,0.8,0.7,1.1,0.1,1,2,39.8,0.3,2.9,Philip Billing,,Bournemouth,29,193cm,11-06-1996,Denmark,"Midfielder (Centre), Forward",5.99,7.52,6.71,8.45,6.6,6.19,7,6.27,6.42,5.79
3,145277,2017/2018,Huddersfield,EPL,8(8),760,0,,3,0,0.4,75.7,6.48,1.6,,0.9,0.1,0.8,0.9,6.48,0.1,0.3,0.4,0.1,0.4,0.5,23.2,0.1,1,Philip Billing,,Bournemouth,29,193cm,11-06-1996,Denmark,"Midfielder (Centre), Forward",5.99,7.52,6.71,8.45,6.6,6.19,7,6.27,6.42,5.79
0,362551,2022/2023,Bournemouth,EPL,5(2),429,0,,0,0,0.9,71.1,6.79,2.4,,0.6,0,0.1,1.7,6.79,2,2.3,0.6,0.1,1.9,2.1,19.3,1.7,0.6,Hamed Traorè,,Bournemouth,23,184cm,16-02-2000,Ivory Coast,"Attacking Midfielder (Centre, Left, Right)",6.66,7.72,6.95,6.71,7.18,7.39,6.66,N/A,6.18,6.47
