,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,332325,2022/2023,West Ham,EPL,35(1),3182,4,,5,0,1,87.8,7.04,2.2,,0.6,0.1,1.5,0.5,7.04,1,1,0.3,0,0.7,0.7,55.6,0.3,4.1,Declan Rice,,West Ham,41,185cm,14-01-1999,England,"Defender (Centre), Defensive Midfielder (C)",7.11,N/A,8.33,7.4,6.6,7.68,N/A,6.15,N/A,7.63
1,332325,2021/2022,West Ham,EPL,35(1),3178,1,,8,0,0.7,91.6,7.10,2.2,,0.8,0,1.4,0.9,7.10,0.7,1.4,0.3,0,0.6,0.7,59.8,0.2,3.6,Declan Rice,,West Ham,41,185cm,14-01-1999,England,"Defender (Centre), Defensive Midfielder (C)",7.11,N/A,8.33,7.4,6.6,7.68,N/A,6.15,N/A,7.63
2,332325,2020/2021,West Ham,EPL,32,2880,2,,2,0,0.8,88,7.01,1.8,,0.7,0,1.1,0.9,7.01,0.7,0.9,0.4,0.1,0.6,1.1,47.7,0.3,2.3,Declan Rice,,West Ham,41,185cm,14-01-1999,England,"Defender (Centre), Defensive Midfielder (C)",7.11,N/A,8.33,7.4,6.6,7.68,N/A,6.15,N/A,7.63
3,332325,2019/2020,West Ham,EPL,38,3420,1,,6,0,0.8,86,7.01,3.1,,1.1,0,1.3,1.3,7.01,0.6,1.3,0.2,0.1,0.6,0.7,45.6,0.3,3.4,Declan Rice,,West Ham,41,185cm,14-01-1999,England,"Defender (Centre), Defensive Midfielder (C)",7.11,N/A,8.33,7.4,6.6,7.68,N/A,6.15,N/A,7.63
4,332325,2018/2019,West Ham,EPL,34,3005,2,,4,0,0.6,86.4,6.93,2.9,,0.5,0,1.6,1.5,6.93,0.3,0.8,0.2,0,0.6,0.6,44.6,0,2.9,Declan Rice,,West Ham,41,185cm,14-01-1999,England,"Defender (Centre), Defensive Midfielder (C)",7.11,N/A,8.33,7.4,6.6,7.68,N/A,6.15,N/A,7.63
5,332325,2017/2018,West Ham,EPL,15(11),1424,0,,1,0,0.2,78.6,6.49,1.4,,0.2,0.2,2.7,0.3,6.49,0.1,0.1,0.1,0,0.1,0.2,22,0,1.7,Declan Rice,,West Ham,41,185cm,14-01-1999,England,"Defender (Centre), Defensive Midfielder (C)",7.11,N/A,8.33,7.4,6.6,7.68,N/A,6.15,N/A,7.63
6,332325,2016/2017,West Ham,EPL,0(1),1,0,,0,0,0,100,6.00,0,,0,0,0,0,6.00,0,0,0,0,0,0,6,0,0,Declan Rice,,West Ham,41,185cm,14-01-1999,England,"Defender (Centre), Defensive Midfielder (C)",7.11,N/A,8.33,7.4,6.6,7.68,N/A,6.15,N/A,7.63
0,319756,2022/2023,West Ham,EPL,26(1),2099,4,,5,0,1.9,79.7,6.99,2.6,,1.8,0,1.1,1.4,6.99,1.1,1.1,1.1,0,1.5,1.7,39.9,0.1,1.6,Lucas Paquetá,,West Ham,10,180cm,27-08-1997,Brazil,"Midfielder (Centre, Left, Right), Forward",7.04,N/A,8.6,7.26,6.14,6.75,7.18,N/A,N/A,8.76
0,322596,2022/2023,West Ham,EPL,36(1),3209,6,,2,0,2,72.4,6.81,1.1,,0.7,0.1,0.5,1.1,6.81,1.3,1,1.8,0.3,1.5,1.9,19.1,0.8,0.6,Jarrod Bowen,,West Ham,20,175cm,20-12-1996,England,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.99,6.06,6.52,6.13,7.15,N/A,5.92,N/A,8.52
1,322596,2021/2022,West Ham,EPL,34(2),2993,12,,6,0,2.2,76.2,7.14,1,,0.7,0,0.2,0.8,7.14,1.1,1.4,1.2,0.4,1.4,1.8,19.8,0.8,1,Jarrod Bowen,,West Ham,20,175cm,20-12-1996,England,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.99,6.06,6.52,6.13,7.15,N/A,5.92,N/A,8.52
