,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,134543,2022/2023,Wolves,EPL,2,180,0,,0,0,0,72.7,7.00,0.5,,0,0,0.5,0,7.00,0,0,0.5,0,0,0,33,0,7,Daniel Bentley,,Wolverhampton,25,188cm,13-07-1993,England,Goalkeeper,5.82,7.58,6.94,5.72,6.41,6.25,6.81,6.25,7.28,6.72
0,238244,2022/2023,Wolves,EPL,33(1),2977,6,,12,0,1.9,84,6.98,2.3,,1.1,0,2.4,1.2,6.98,0.9,0.6,0.5,0,0.4,0.6,59.1,0.3,6.2,Rúben Neves,,Wolverhampton,8,180cm,13-03-1997,Portugal,Defensive Midfielder (C),7.02,6.33,7.06,6.77,6.3,8.77,5.76,7.27,6.82,6.69
1,238244,2021/2022,Wolves,EPL,31(2),2663,4,,9,0,1.3,84,6.85,2.1,,0.8,0.1,1.4,1.9,6.85,0.8,0.8,0.4,0,0.5,1,58.5,0.3,6,Rúben Neves,,Wolverhampton,8,180cm,13-03-1997,Portugal,Defensive Midfielder (C),7.02,6.33,7.06,6.77,6.3,8.77,5.76,7.27,6.82,6.69
2,238244,2020/2021,Wolves,EPL,31(5),2680,5,,8,0,1.9,84.4,6.81,2.4,,1.3,0.1,1.1,1.4,6.81,0.9,0.3,0.5,0,0.4,0.7,54.9,0.1,5.3,Rúben Neves,,Wolverhampton,8,180cm,13-03-1997,Portugal,Defensive Midfielder (C),7.02,6.33,7.06,6.77,6.3,8.77,5.76,7.27,6.82,6.69
3,238244,2019/2020,Wolves,EPL,35(3),3060,2,,9,0,1.6,80.1,6.82,1.6,,0.8,0,0.8,1.4,6.82,0.8,0.6,0.4,0,0.3,0.4,53.2,0.2,5.8,Rúben Neves,,Wolverhampton,8,180cm,13-03-1997,Portugal,Defensive Midfielder (C),7.02,6.33,7.06,6.77,6.3,8.77,5.76,7.27,6.82,6.69
4,238244,2018/2019,Wolves,EPL,34(1),3009,4,,8,0,2.1,81.2,6.86,2.1,,1.1,0,1.3,1.6,6.86,0.7,0.3,0.5,0,0.8,0.8,55.4,0.1,6.1,Rúben Neves,,Wolverhampton,8,180cm,13-03-1997,Portugal,Defensive Midfielder (C),7.02,6.33,7.06,6.77,6.3,8.77,5.76,7.27,6.82,6.69
0,368310,2022/2023,Wolves,EPL,36,3240,0,,3,0,0.4,83.3,6.69,1,,0.5,0.5,4.5,0.4,6.69,0.1,0.5,0.3,0,0.3,0.4,56.9,0.1,3.4,Maximilian Kilman,,Wolverhampton,23,194cm,23-05-1997,England,Defender (Centre),6.58,6.2,6.97,7.19,7.1,6.31,7.35,5.63,7.16,6.74
1,368310,2021/2022,Wolves,EPL,30,2689,1,,3,0,0.4,85.8,6.87,1.7,,0.6,0.5,3.5,0.4,6.87,0.1,0.6,0.4,0,0.2,0.7,50.8,0,2.8,Maximilian Kilman,,Wolverhampton,23,194cm,23-05-1997,England,Defender (Centre),6.58,6.2,6.97,7.19,7.1,6.31,7.35,5.63,7.16,6.74
2,368310,2020/2021,Wolves,EPL,14(4),1307,0,,4,0,0.4,87.9,6.59,1.2,,1.1,0.2,2.2,0.3,6.59,0.3,0.4,0.2,0,0.1,0.2,41.4,0,0.9,Maximilian Kilman,,Wolverhampton,23,194cm,23-05-1997,England,Defender (Centre),6.58,6.2,6.97,7.19,7.1,6.31,7.35,5.63,7.16,6.74
3,368310,2019/2020,Wolves,EPL,2(1),184,0,,0,0,0,76.5,6.57,1.3,,0.7,0.3,2.3,0,6.57,0,0.3,0,0,0.3,0.3,32.7,0,0.3,Maximilian Kilman,,Wolverhampton,23,194cm,23-05-1997,England,Defender (Centre),6.58,6.2,6.97,7.19,7.1,6.31,7.35,5.63,7.16,6.74
4,368310,2018/2019,Wolves,EPL,0(1),1,0,,0,0,0,0,6.00,0,,0,0,0,0,6.00,0,0,0,0,0,0,0,0,0,Maximilian Kilman,,Wolverhampton,23,194cm,23-05-1997,England,Defender (Centre),6.58,6.2,6.97,7.19,7.1,6.31,7.35,5.63,7.16,6.74
0,431283,2022/2023,Wolves,EPL,10(6),959,1,,6,0,0.3,82.5,6.65,0.9,,1,0.3,2.7,0.3,6.65,0.3,0.6,0.3,0.1,0.2,0.4,29.7,0.3,1.1,Toti,,Wolverhampton,24,187cm,16-01-1999,,"Defender (Centre, Left)",6.15,7.2,7.46,6.97,6.87,6.03,6.09,8.05,6.1,6.83
1,431283,2021/2022,Wolves,EPL,4,360,0,,1,0,0.3,75.6,7.01,2.8,,0.5,0.3,3.5,0.5,7.01,0,1.3,0.8,0.3,0.5,0.8,50.3,0,1.5,Toti,,Wolverhampton,24,187cm,16-01-1999,,"Defender (Centre, Left)",6.15,7.2,7.46,6.97,6.87,6.03,6.09,8.05,6.1,6.83
0,403693,2022/2023,Wolves,EPL,6(4),567,1,,5,0,0.4,78.1,6.63,2.6,,1.4,0,1,0.9,6.63,0.5,0.7,1.6,0,0.4,0.7,27.4,0.1,0.9,João Gomes,,Wolverhampton,35,173cm,12-02-2001,Brazil,Defensive Midfielder (C),7.38,6.2,5.94,6.37,7.65,7.13,6.87,6.36,5.71,6.7
0,362758,2022/2023,Wolves,EPL,12(5),972,2,,1,0,1.5,75.7,6.63,0.4,,1.2,0,0.5,0.5,6.63,0.4,1.5,1.2,0.2,0.8,1.8,13.1,0,0.4,Matheus Cunha,,Wolverhampton,12,184cm,27-05-1999,Brazil,"Attacking Midfielder (Centre, Left), Forward",6.05,7.15,6.32,6.78,6.97,7.59,6.37,7.88,6.49,6.03
