,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
0,105172,2022/2023,Southampton,EPL,37,3286,8,,6,0,1.1,85.3,6.93,1.7,,0.9,0,1.2,1,6.93,2,0.2,0.5,0,0.6,0.7,51,1.9,1.8,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
1,105172,2021/2022,Southampton,EPL,36,3217,10,,3,1,1.5,86.3,7.01,1.1,,0.6,0,1.1,1.4,7.01,2,0.3,0.4,0,0.7,0.6,50.8,2.1,1.8,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
2,105172,2020/2021,Southampton,EPL,38,3420,8,,5,0,1.1,86.4,7.07,2,,1.2,0,1.4,1.1,7.07,1.6,0.4,0.7,0,0.4,0.9,64.1,1.4,2.1,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
3,105172,2019/2020,Southampton,EPL,38,3420,5,,9,0,1.5,80.9,7.15,2.4,,1.5,0.1,1.9,1.4,7.15,1.6,0.4,1.1,0,0.6,0.7,43.8,1.5,2.1,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
4,105172,2018/2019,Southampton,EPL,21(5),1942,7,,4,0,1.2,76.5,6.87,1.4,,0.8,0,2,1.1,6.87,1.8,0.2,0.4,0.1,0.6,1,27.7,1.5,1,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
5,105172,2017/2018,Southampton,EPL,20(10),1717,3,,3,0,0.9,78.8,6.58,0.8,,0.6,0,0.6,0.8,6.58,1.2,0.2,0.4,0,0.4,0.7,24.9,1.2,0.6,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
6,105172,2016/2017,Southampton,EPL,22(8),1885,4,,4,0,1.4,83.3,6.69,1,,0.9,0.1,1.1,0.8,6.69,1.4,0.2,0.6,0,1.2,0.7,32.2,1.3,0.8,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
7,105172,2015/2016,Southampton,EPL,14(19),1534,2,,5,0,0.8,83.5,6.55,0.4,,0.6,0,1.1,0.6,6.55,1,0.2,0.2,0,0.5,0.4,21.2,0.8,0.8,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
8,105172,2014/2015,Southampton,EPL,16(9),1478,1,,0,1,1.2,87.3,6.65,0.8,,0.9,0,0.5,0.8,6.65,1.4,0.2,0.4,0,1.1,0.6,27.3,1.2,1.1,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
9,105172,2013/2014,Southampton,EPL,16(18),1604,0,,3,0,0.6,87.3,6.62,1.1,,0.6,0.1,0.5,0.7,6.62,1.1,0.1,0.5,0,0.5,0.3,30.3,1.6,2.2,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
10,105172,2012/2013,Southampton,EPL,4(11),483,0,,0,0,0.5,85.3,6.30,0.6,,0.2,0,0.7,0.3,6.30,0.7,0.2,0.3,0,0.4,0.2,20.8,0.3,0.8,James Ward-Prowse,,Southampton,8,173cm,01-11-1994,England,"Midfielder (Centre, Right)",7.95,6.53,6.56,6.44,7.19,6.68,5.94,8.14,6.69,6.99
0,362357,2022/2023,Southampton,EPL,21(1),1973,0,,5,0,0.9,76.8,6.78,2.3,,1.2,0.5,5.4,0.5,6.78,0.3,0.3,0.1,0,0.4,0.2,49.5,0.2,3.3,Mohammed Salisu,,Southampton,22,191cm,17-04-1999,Ghana,"Defender (Centre, Left)",6.73,N/A,7.44,7.52,7.36,7.3,6.49,7.01,7.23,6.83
1,362357,2021/2022,Southampton,EPL,33(1),2972,0,,8,1,0.7,77.9,6.82,2.4,,1.1,0.6,4.4,0.7,6.82,0.3,0.4,0.2,0.1,0.3,0.5,51.2,0.1,2.6,Mohammed Salisu,,Southampton,22,191cm,17-04-1999,Ghana,"Defender (Centre, Left)",6.73,N/A,7.44,7.52,7.36,7.3,6.49,7.01,7.23,6.83
2,362357,2020/2021,Southampton,EPL,8(4),843,0,,1,0,0.3,80,6.66,3.2,,0.8,0.5,2.4,0.8,6.66,0.2,0.8,0.3,0,0.6,1,30,0,0.9,Mohammed Salisu,,Southampton,22,191cm,17-04-1999,Ghana,"Defender (Centre, Left)",6.73,N/A,7.44,7.52,7.36,7.3,6.49,7.01,7.23,6.83
0,369970,2022/2023,Southampton,EPL,24,1885,0,,4,0,0.6,80.3,6.71,1.5,,0.4,0.3,4.5,0.2,6.71,0.3,0.2,1.4,0,0.3,0.4,38.6,0,2,Armel Bella-Kotchap,,Southampton,37,190cm,11-12-2001,Germany,Defender (Centre),7.4,7.31,7.46,6.47,6.3,5.67,6.83,7.08,6.83,5.77
