,index,Team,Poss,Gls,Ast,PrgC,PrgP,Gls_Conceded,Ast_Conceded,PrgC_Conceded,PrgP_Conceded,cluster,PCA 1,PCA 2
0,0,Arsenal,58.9,73,55,1.82,3.26,43,23,0.87,1.47,1,3.547115041617906,-0.5010837622702679
1,1,Bournemouth,51.5,53,33,1.21,2.08,63,47,1.61,2.84,2,-1.335493990685534,-1.370081276663085
2,2,Burnley,40.3,39,24,0.87,1.5,53,38,1.29,2.29,3,-1.691107991452792,1.0868929591051009
3,3,Chelsea,55.1,83,53,2.13,3.53,32,16,0.79,1.21,5,4.582440940251879,-0.15885881346711125
4,4,Crystal Palace,45.4,48,32,1.16,2.0,63,44,1.61,2.76,2,-1.6412326159669979,-0.9063247493167215
5,5,Everton,52.1,58,45,1.45,2.63,43,31,1.05,1.87,4,1.5392780949521114,0.05773167427056484
6,6,Hull City,45.9,36,24,0.87,1.5,75,53,1.68,3.08,0,-3.3005921719557496,-0.9345563643703793
7,7,Leicester City,41.9,46,32,1.11,1.95,61,42,1.53,2.63,2,-1.6252921751634233,-0.4493817492416999
8,8,Liverpool,62.0,77,52,1.84,3.21,42,28,1.03,1.76,1,3.228263998996381,-1.0396019096284401
9,9,Manchester City,65.0,75,54,1.79,3.21,38,29,0.95,1.71,1,3.492342945466624,-0.8697863743929604
10,10,Manchester Utd,56.5,54,37,1.34,2.32,28,18,0.63,1.11,4,2.766762887194761,2.1477137273618023
11,11,Middlesbrough,47.3,26,22,0.63,1.21,53,37,1.29,2.26,3,-1.9799625050756362,1.5838227448922682
12,12,Southampton,54.4,39,27,0.95,1.66,48,33,1.11,1.97,3,-0.3059717430960832,1.2500667752057604
13,13,Stoke City,46.3,37,24,0.87,1.5,51,38,1.32,2.32,3,-1.487219903112926,0.9990739466726429
14,14,Sunderland,39.7,28,11,0.61,0.89,67,51,1.66,3.0,0,-4.194447303944053,0.46543424220526913
15,15,Swansea City,47.9,45,31,1.11,1.92,65,44,1.55,2.71,2,-1.6630497406087346,-0.7694082279523541
16,16,Tottenham,60.5,84,59,2.03,3.58,25,15,0.61,1.0,5,5.40144967138254,0.16973628288670425
17,17,Watford,46.1,39,27,0.95,1.66,66,47,1.66,2.89,2,-2.5072547429153067,-0.6316535435318279
18,18,West Brom,37.3,43,33,1.11,1.97,50,39,1.24,2.26,3,-1.0022677524000525,0.6252209785038475
19,19,West Ham,47.1,46,28,1.13,1.87,64,46,1.55,2.76,2,-1.8237609434849107,-0.7549565602691107
