HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Aston Villa,Wigan,0.0,0.2222222222222222,A,0.0,0.2,A,M Clattenburg,0.23809523809523808,0.45161290322580644,0.20833333333333334,0.35,0.625,0.52,0.21052631578947367,0.3157894736842105,0.2857142857142857,0.2222222222222222,0.0,0.0
Blackburn,Man City,0.0,0.2222222222222222,A,0.0,0.2,A,M Dean,0.38095238095238093,0.25806451612903225,0.375,0.25,0.5,0.32,0.2631578947368421,0.21052631578947367,0.2857142857142857,0.1111111111111111,0.0,0.0
Bolton,Sunderland,0.0,0.1111111111111111,A,0.0,0.2,A,A Marriner,0.23809523809523808,0.6451612903225806,0.125,0.65,0.6666666666666666,0.36,0.21052631578947367,0.3684210526315789,0.2857142857142857,0.1111111111111111,0.0,0.0
Chelsea,Hull,0.2222222222222222,0.1111111111111111,H,0.2,0.2,D,A Wiley,0.5952380952380952,0.22580645161290322,0.5,0.15,0.5416666666666666,0.56,0.631578947368421,0.21052631578947367,0.14285714285714285,0.2222222222222222,0.0,0.0
Everton,Arsenal,0.1111111111111111,0.6666666666666666,A,0.0,0.6,A,M Halsey,0.16666666666666666,0.4838709677419355,0.20833333333333334,0.45,0.4583333333333333,0.48,0.21052631578947367,0.47368421052631576,0.0,0.0,0.0,0.0
Portsmouth,Fulham,0.0,0.1111111111111111,A,0.0,0.2,A,M Atkinson,0.35714285714285715,0.2903225806451613,0.16666666666666666,0.15,0.4583333333333333,0.68,0.3157894736842105,0.21052631578947367,0.42857142857142855,0.2222222222222222,0.0,0.0
Stoke,Burnley,0.2222222222222222,0.0,H,0.4,0.0,H,S Bennett,0.2619047619047619,0.2903225806451613,0.20833333333333334,0.25,0.625,0.36,0.15789473684210525,0.3157894736842105,0.2857142857142857,0.2222222222222222,0.0,0.0
Wolves,West Ham,0.0,0.2222222222222222,A,0.0,0.2,A,C Foy,0.42857142857142855,0.5161290322580645,0.4583333333333333,0.65,0.375,0.16,0.42105263157894735,0.3157894736842105,0.0,0.0,0.0,0.0
Tottenham,Liverpool,0.2222222222222222,0.1111111111111111,H,0.2,0.0,H,P Dowd,0.38095238095238093,0.1935483870967742,0.4583333333333333,0.15,0.5833333333333334,0.6,0.3157894736842105,0.2631578947368421,0.42857142857142855,0.3333333333333333,0.0,0.0
Man United,Birmingham,0.1111111111111111,0.0,H,0.2,0.0,H,L Mason,0.5952380952380952,0.1935483870967742,0.7083333333333334,0.2,0.5416666666666666,0.24,0.6842105263157895,0.10526315789473684,0.14285714285714285,0.1111111111111111,0.0,0.0
Sunderland,Chelsea,0.1111111111111111,0.3333333333333333,A,0.2,0.0,H,S Bennett,0.07142857142857142,0.6451612903225806,0.125,0.45,0.5833333333333334,0.36,0.05263157894736842,0.7368421052631579,0.2857142857142857,0.2222222222222222,0.0,0.0
Wigan,Wolves,0.0,0.1111111111111111,A,0.0,0.2,A,M Jones,0.40476190476190477,0.2903225806451613,0.20833333333333334,0.15,0.3333333333333333,0.8,0.21052631578947367,0.21052631578947367,0.0,0.3333333333333333,0.0,0.0
