,Team,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls_Conceded,Ast_Conceded,G-PK_Conceded,PK_Conceded,PKatt_Conceded,CrdY_Conceded,CrdR_Conceded,xG_Conceded,npxG_Conceded,xAG_Conceded,npxG+xAG_Conceded,PrgC_Conceded,PrgP_Conceded
0,Arsenal,27,24.4,52.8,60,41,101,55,5,8,67,4,60.5,55.1,40.2,95.4,734,47,33,80,42,5,6,69,3,45.7,40.9,33.3,74.2,556
1,Aston Villa,31,26.1,46.5,50,42,92,47,3,3,81,2,44.0,42.0,34.8,76.8,653,52,35,87,48,4,6,83,1,49.0,44.1,33.7,77.8,741
2,Brentford,29,25.4,44.8,46,33,79,40,6,6,65,3,45.8,41.1,33.0,74.1,450,54,41,95,49,5,5,50,3,48.5,44.6,34.7,79.3,734
3,Brighton,26,26.2,54.4,40,30,70,36,4,7,72,2,46.2,40.7,32.3,72.9,676,44,34,78,41,3,4,80,0,42.9,39.8,30.0,69.9,642
4,Burnley,23,28.5,40.2,32,26,58,31,1,2,68,2,39.7,38.1,31.2,69.3,388,51,36,87,46,5,5,44,0,57.1,53.2,40.7,93.9,865
5,Chelsea,26,27.4,61.8,75,52,127,67,8,9,63,1,63.4,56.6,44.9,101.5,894,32,20,52,26,6,6,69,4,33.2,28.9,21.7,50.6,495
6,Crystal Palace,24,27.1,51.1,50,31,81,44,6,8,69,1,46.4,40.1,31.0,71.1,592,44,30,74,41,3,4,74,3,40.7,37.6,28.3,65.9,563
7,Everton,33,26.7,40.0,42,29,71,36,6,7,82,6,41.2,35.8,28.5,64.3,512,61,46,107,59,2,2,72,0,55.4,53.9,41.8,95.8,735
8,Leeds United,29,26.1,52.3,42,26,68,37,5,5,101,3,44.4,40.4,31.3,71.8,671,78,59,137,73,5,5,74,3,67.8,64.0,48.5,112.4,700
9,Leicester City,28,26.5,52.0,62,46,108,60,2,2,55,1,47.8,46.2,34.2,80.4,622,58,36,94,51,7,9,60,0,59.3,52.6,39.8,92.4,732
10,Liverpool,27,27.7,62.7,94,71,165,87,7,8,50,1,88.7,82.7,63.5,146.2,885,25,18,43,25,0,0,63,3,33.8,33.8,27.5,61.3,469
11,Manchester City,26,27.0,67.9,96,63,159,89,7,9,42,1,88.7,81.4,65.5,146.9,1145,26,23,49,25,1,1,68,3,24.6,23.9,19.0,42.8,392
12,Manchester Utd,29,27.2,52.7,56,46,102,53,3,5,77,2,55.8,51.9,42.5,94.3,784,54,41,95,51,3,5,48,1,53.0,49.4,39.0,88.4,672
13,Newcastle Utd,29,27.5,40.4,41,23,64,38,3,3,81,2,38.1,35.9,25.8,61.7,544,60,43,103,55,5,6,75,3,57.1,52.6,42.7,95.3,774
14,Norwich City,28,26.2,42.9,21,16,37,18,3,3,57,1,32.3,30.0,24.3,54.3,566,82,57,139,73,9,12,62,2,75.5,66.3,54.4,120.7,822
15,Southampton,25,25.7,47.7,41,26,67,37,4,4,65,2,44.8,41.6,32.5,74.1,728,65,47,112,63,2,2,64,1,60.0,58.5,45.7,104.3,647
16,Tottenham,25,26.5,51.8,63,50,113,58,5,5,69,1,61.2,57.3,47.0,104.4,791,39,29,68,37,2,2,83,6,39.3,37.7,30.2,67.9,653
17,Watford,30,28.4,40.7,33,26,59,32,1,2,63,3,40.0,38.4,32.5,70.9,557,74,56,130,68,6,7,64,1,64.5,59.0,49.3,108.4,744
18,West Ham,25,28.2,47.9,58,46,104,54,4,6,52,3,51.4,46.8,37.4,84.2,646,49,38,87,47,2,6,49,3,53.5,48.8,39.9,88.7,845
19,Wolves,26,27.3,49.5,35,22,57,34,1,1,62,2,37.5,36.8,26.4,63.2,723,42,23,65,33,9,10,90,3,56.9,49.2,38.6,87.8,780
