,Team,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls_Conceded,Ast_Conceded,G-PK_Conceded,PK_Conceded,PKatt_Conceded,CrdY_Conceded,CrdR_Conceded,xG_Conceded,npxG_Conceded,xAG_Conceded,npxG+xAG_Conceded,PrgC_Conceded,PrgP_Conceded
0,Arsenal,29,26.9,58.9,73,55,128,69,4,6,0,0,1.92,1.45,3.37,1.82,3.26,43,23,66,33,10,10,77,4,1.13,0.61,1.74,0.87,1.47
1,Bournemouth,27,27.0,51.5,53,33,86,46,7,10,0,2,1.39,0.87,2.26,1.21,2.08,63,47,110,61,2,5,87,3,1.66,1.24,2.89,1.61,2.84
2,Burnley,27,27.7,40.3,39,24,63,33,6,6,0,1,1.03,0.63,1.66,0.87,1.50,53,38,91,49,4,5,65,3,1.39,1.00,2.39,1.29,2.29
3,Chelsea,24,27.2,55.1,83,53,136,81,2,4,0,0,2.18,1.39,3.58,2.13,3.53,32,16,48,30,2,2,84,4,0.84,0.42,1.26,0.79,1.21
4,Crystal Palace,31,27.7,45.4,48,32,80,44,4,7,0,0,1.26,0.84,2.11,1.16,2.00,63,44,107,61,2,2,71,1,1.66,1.16,2.82,1.61,2.76
5,Everton,27,27.5,52.1,58,45,103,55,3,4,0,1,1.53,1.18,2.71,1.45,2.63,43,31,74,40,3,5,59,2,1.13,0.82,1.95,1.05,1.87
6,Hull City,28,27.4,45.9,36,24,60,33,3,3,0,0,0.95,0.63,1.58,0.87,1.50,75,53,128,64,11,13,56,2,1.97,1.39,3.37,1.68,3.08
7,Leicester City,25,27.8,41.9,46,32,78,42,4,6,0,0,1.21,0.84,2.05,1.11,1.95,61,42,103,58,3,3,56,0,1.61,1.11,2.71,1.53,2.63
8,Liverpool,23,26.1,62.0,77,52,129,70,7,8,0,0,2.03,1.37,3.39,1.84,3.21,42,28,70,39,3,5,73,1,1.11,0.74,1.84,1.03,1.76
9,Manchester City,25,28.5,65.0,75,54,129,68,7,9,0,0,1.97,1.42,3.39,1.79,3.21,38,29,67,36,2,5,92,1,1.00,0.76,1.76,0.95,1.71
10,Manchester Utd,31,26.7,56.5,54,37,91,51,3,4,0,1,1.42,0.97,2.39,1.34,2.32,28,18,46,24,4,5,71,4,0.74,0.47,1.21,0.63,1.11
11,Middlesbrough,27,27.3,47.3,26,22,48,24,2,2,0,1,0.68,0.58,1.26,0.63,1.21,53,37,90,49,4,5,63,0,1.39,0.97,2.37,1.29,2.26
12,Southampton,26,26.0,54.4,39,27,66,36,3,6,0,1,1.03,0.71,1.74,0.95,1.66,48,33,81,42,6,9,67,2,1.26,0.87,2.13,1.11,1.97
13,Stoke City,26,28.7,46.3,37,24,61,33,4,6,0,1,0.97,0.63,1.61,0.87,1.50,51,38,89,50,1,2,80,2,1.34,1.00,2.34,1.32,2.32
14,Sunderland,31,26.8,39.7,28,11,39,23,5,5,0,3,0.74,0.29,1.03,0.61,0.89,67,51,118,63,4,4,58,1,1.76,1.34,3.11,1.66,3.00
15,Swansea City,27,27.4,47.9,45,31,76,42,3,3,0,0,1.18,0.82,2.00,1.11,1.92,65,44,109,59,6,8,65,1,1.71,1.16,2.87,1.55,2.71
16,Tottenham,24,25.3,60.5,84,59,143,77,7,9,0,0,2.21,1.55,3.76,2.03,3.58,25,15,40,23,2,2,90,3,0.66,0.39,1.05,0.61,1.00
17,Watford,33,29.0,46.1,39,27,66,36,3,3,0,3,1.03,0.71,1.74,0.95,1.66,66,47,113,63,3,4,62,3,1.74,1.24,2.97,1.66,2.89
18,West Brom,23,29.4,37.3,43,33,76,42,1,1,0,0,1.13,0.87,2.00,1.11,1.97,50,39,89,47,3,3,55,3,1.32,1.03,2.34,1.24,2.26
19,West Ham,29,27.1,47.1,46,28,74,43,3,4,0,4,1.21,0.74,1.95,1.13,1.87,64,46,110,59,5,8,83,1,1.68,1.21,2.89,1.55,2.76
