,Team,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls_Conceded,Ast_Conceded,G-PK_Conceded,PK_Conceded,PKatt_Conceded,CrdY_Conceded,CrdR_Conceded,xG_Conceded,npxG_Conceded,xAG_Conceded,npxG+xAG_Conceded,PrgC_Conceded,PrgP_Conceded
0,Arsenal,29,25.8,53.8,56,35,53,3,3,88,5,47.0,44.6,31.4,76.1,815,1641,48,30,41,7,8,79,1,55.3,48.9,39.1,88.1,759,1369
1,Aston Villa,28,25.7,44.1,40,32,39,1,3,70,1,44.3,41.8,34.2,76.0,639,1247,66,44,61,5,6,90,7,67.8,63.0,46.6,109.6,838,1823
2,Bournemouth,27,25.2,44.1,38,24,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,65,45,60,5,6,67,3,62.3,57.6,42.6,100.2,743,1670
3,Brighton,25,26.4,52.2,35,24,34,1,2,59,2,45.4,43.8,31.6,75.4,669,1675,52,42,50,2,2,61,1,55.0,53.4,43.1,96.5,773,1342
4,Burnley,22,28.0,41.9,41,30,38,3,3,67,0,47.4,45.3,32.4,77.7,437,890,49,38,45,4,5,42,3,49.8,45.8,36.6,82.4,857,1544
5,Chelsea,27,25.5,60.4,69,46,62,7,7,60,0,69.2,64.4,46.7,111.1,983,1897,51,36,49,2,2,76,3,38.6,37.0,27.4,64.4,464,1151
6,Crystal Palace,25,29.4,44.8,29,20,26,3,3,62,2,35.8,33.6,26.0,59.5,596,1223,48,36,48,0,1,88,5,57.0,56.2,40.0,96.2,769,1690
7,Everton,24,25.5,49.0,42,32,41,1,1,76,3,50.8,50.0,38.1,88.1,623,1430,53,39,50,3,4,61,2,48.3,45.2,34.2,79.4,675,1405
8,Leicester City,24,26.1,57.1,65,48,60,5,7,43,3,62.2,56.7,44.9,101.6,739,1612,39,26,31,8,10,69,3,45.5,37.7,29.2,66.9,653,1214
9,Liverpool,24,26.6,62.9,83,69,78,5,5,38,1,68.9,65.0,53.0,118.0,967,1941,32,23,31,1,1,47,0,37.7,36.9,29.6,66.5,514,949
10,Manchester City,24,26.9,66.2,100,69,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460,34,25,31,3,3,53,1,36.2,34.6,23.1,57.8,448,801
11,Manchester Utd,29,24.8,55.8,65,43,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788,35,24,32,3,3,79,2,37.7,35.3,25.2,60.5,648,1204
12,Newcastle Utd,28,26.5,39.0,38,29,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844,56,38,54,2,2,57,2,65.6,64.0,50.4,114.4,808,1882
13,Norwich City,30,26.0,49.3,25,18,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169,72,50,68,4,7,58,2,66.5,60.9,46.6,107.6,846,1793
14,Sheffield Utd,26,26.9,43.1,36,25,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352,39,28,38,1,3,46,0,51.0,48.6,38.1,86.7,840,1420
15,Southampton,25,25.9,48.9,51,32,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335,59,41,56,3,4,67,3,52.8,49.6,38.7,88.4,644,1453
16,Tottenham,29,26.7,52.0,56,39,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410,45,27,40,5,7,83,1,54.2,49.1,34.0,83.1,715,1554
17,Watford,26,28.9,42.9,35,21,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168,61,37,53,8,9,66,1,58.1,51.2,39.4,90.6,844,1654
18,West Ham,29,27.4,44.1,49,36,45,4,4,64,1,48.6,45.4,36.7,82.2,666,1377,59,49,54,5,6,45,0,63.8,59.1,48.7,107.8,855,1724
19,Wolves,21,26.6,48.3,49,34,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338,39,28,38,1,3,85,5,38.0,35.5,26.1,61.6,702,1411
