,player_name,position,market_value
0,Lucas Moura,Right Winger,9.00
1,Raúl Jiménez,Centre-Forward,9.00
2,Antoine Semenyo,Centre-Forward,9.00
3,Calum Chambers,Centre-Back,8.00
4,Lewis Hall,Left-Back,8.00
5,Ryan Fraser,Left Winger,8.00
6,Manuel Lanzini,Attacking Midfield,8.00
7,Dennis Praet,Central Midfield,8.00
8,Mislav Orsic,Left Winger,7.00
9,Pierre-Emerick Aubameyang,Centre-Forward,7.00
10,Jannik Vestergaard,Centre-Back,5.00
11,Jeremy Sarmiento,Attacking Midfield,5.00
12,Layvin Kurzawa,Left-Back,4.00
13,Hugo Lloris,Goalkeeper,4.00
14,Thomas Strakosha,Goalkeeper,4.00
15,Ellis Simms,Centre-Forward,4.00
16,Sam Johnstone,Goalkeeper,4.00
17,Jan Paul van Hecke,Centre-Back,4.00
18,Neeskens Kebano,Left Winger,3.00
19,Martin Dúbravka,Goalkeeper,2.50
20,Teden Mengi,Centre-Back,2.00
21,Matty Longstaff,Central Midfield,1.50
22,Harrison Ashby,Right-Back,1.00
23,Jason Steele,Goalkeeper,1.00
24,Kobbie Mainoo,Central Midfield,800
