,player_name,position,market_value
0,Hugo Bueno,Left-Back,200
1,Andy Lonergan,Goalkeeper,200
2,Tom McGill,Goalkeeper,200
3,Will Dennis,Goalkeeper,200
4,Willy Caballero,Goalkeeper,200
5,Adnan Kanuric,Goalkeeper,150
6,Benoît Badiashile,Centre-Back,40.00
7,Tetê,Right Winger,25.00
8,Keylor Navas,Goalkeeper,5.00
9,James Bree,Right-Back,3.00
10,Rhys Williams,Centre-Back,3.00
11,Daniel Bentley,Goalkeeper,1.80
12,Fin Stevens,Right-Back,400
13,Bertrand Traoré,Right Winger,14.00
14,Wout Weghorst,Centre-Forward,14.00
15,Facundo Buonanotte,Attacking Midfield,9.00
