,player_name,position,market_value
0,Kristoffer Ajer,Centre-Back,16.00
1,Danny Ings,Centre-Forward,16.00
2,Vitaly Janelt,Defensive Midfield,16.00
3,Joel Matip,Centre-Back,16.00
4,Anthony Martial,Centre-Forward,15.00
5,Maxwel Cornet,Left Winger,15.00
6,Joe Aribo,Attacking Midfield,15.00
7,Harrison Reed,Central Midfield,15.00
8,Lloyd Kelly,Centre-Back,15.00
9,Victor Lindelöf,Centre-Back,15.00
10,Oliver Skipp,Defensive Midfield,15.00
11,Yoane Wissa,Left Winger,15.00
12,Marcus Tavernier,Left Midfield,15.00
13,Matt Targett,Left-Back,15.00
14,Pape Matar Sarr,Central Midfield,15.00
15,David de Gea,Goalkeeper,15.00
16,Tariq Lamptey,Right-Back,15.00
17,Daniel Amartey,Centre-Back,15.00
18,Jefferson Lerma,Defensive Midfield,15.00
19,Cole Palmer,Attacking Midfield,15.00
20,Kepa Arrizabalaga,Goalkeeper,15.00
21,Mikkel Damsgaard,Left Winger,15.00
22,Sergio Gómez,Left-Back,15.00
23,Carney Chukwuemeka,Central Midfield,15.00
24,Kyle Walker,Right-Back,15.00
