,player_name,position,market_value
0,Harry Toffolo,Left-Back,3.50
1,Jack Stacey,Right-Back,3.00
2,Cheikhou Kouyaté,Defensive Midfield,3.00
3,Steve Cook,Centre-Back,3.00
4,Javier Manquillo,Right-Back,3.00
5,Shandon Baptiste,Central Midfield,3.00
6,Jonny Evans,Centre-Back,3.00
7,Willian,Left Winger,3.00
8,Nathaniel Clyne,Right-Back,3.00
9,Facundo Pellistri,Right Winger,3.00
10,Shane Duffy,Centre-Back,2.50
11,Thiago Silva,Centre-Back,2.50
12,Toti,Centre-Back,2.50
13,Neto,Goalkeeper,2.50
14,Luka Milivojevic,Defensive Midfield,2.50
15,Aaron Cresswell,Left-Back,2.50
16,Craig Dawson,Centre-Back,2.50
17,Andros Townsend,Right Winger,2.50
18,Chiquinho,Left Winger,2.50
19,Mads Roerslev,Right-Back,2.20
20,Saman Ghoddos,Attacking Midfield,2.20
21,Marcus Bettinelli,Goalkeeper,2.00
22,Tom Cairney,Central Midfield,2.00
23,Nathan Ferguson,Centre-Back,2.00
24,Kristoffer Klaesson,Goalkeeper,2.00
