,player_name,position,market_value
0,Harry Maguire,Centre-Back,25.00
1,Kieran Tierney,Left-Back,25.00
2,Dominic Calvert-Lewin,Centre-Forward,25.00
3,Scott McTominay,Defensive Midfield,25.00
4,Max Kilman,Centre-Back,25.00
5,Jordan Pickford,Goalkeeper,25.00
6,Aaron Wan-Bissaka,Right-Back,22.00
7,Roberto Firmino,Centre-Forward,22.00
8,Jack Harrison,Left Winger,22.00
9,Kamaldeen Sulemana,Left Winger,22.00
10,Georginio Rutter,Centre-Forward,22.00
11,Kaoru Mitoma,Left Winger,22.00
12,Boubakary Soumaré,Defensive Midfield,20.00
13,Davinson Sánchez,Centre-Back,20.00
14,N'Golo Kanté,Defensive Midfield,20.00
15,Tyler Adams,Defensive Midfield,20.00
16,Jakub Kiwior,Centre-Back,20.00
17,Armel Bella-Kotchap,Centre-Back,20.00
18,Kevin Schade,Right Winger,20.00
19,Dango Ouattara,Right Winger,20.00
20,Wilfried Gnonto,Left Winger,18.00
21,Edouard Mendy,Goalkeeper,18.00
22,Issa Diop,Centre-Back,18.00
23,Hakim Ziyech,Right Winger,18.00
24,Gavin Bazunu,Goalkeeper,18.00
