,player_name,position,market_value
0,Patson Daka,Centre-Forward,20.00
1,Pervis Estupiñán,Left-Back,20.00
2,Ben Davies,Left-Back,20.00
3,Taiwo Awoniyi,Centre-Forward,20.00
4,Konstantinos Tsimikas,Left-Back,18.00
5,Thiago,Central Midfield,18.00
6,Manor Solomon,Left Winger,18.00
7,Philip Billing,Central Midfield,18.00
8,Callum Wilson,Centre-Forward,18.00
9,Dominic Solanke,Centre-Forward,18.00
10,Mohammed Salisu,Centre-Back,18.00
11,Conor Coady,Centre-Back,18.00
12,Nick Pope,Goalkeeper,18.00
13,Aaron Hickey,Left-Back,18.00
14,Neco Williams,Right-Back,18.00
15,Lewis Dunk,Centre-Back,18.00
16,Moussa Niakhaté,Centre-Back,18.00
17,Dwight McNeil,Left Winger,18.00
18,José Sá,Goalkeeper,18.00
19,Robin Koch,Centre-Back,18.00
20,Sasa Kalajdzic,Centre-Forward,18.00
21,Marcos Senesi,Centre-Back,17.00
22,Jonny Otto,Left-Back,17.00
23,Kelechi Iheanacho,Centre-Forward,17.00
24,Odsonne Edouard,Centre-Forward,17.00
