,player_name,position,market_value
0,George Hirst,Centre-Forward,800
1,Steven Sessegnon,Right-Back,500
2,Gavin Kilkenny,Central Midfield,500
3,Haydon Roberts,Centre-Back,500
4,Ellery Balcombe,Goalkeeper,300
5,Christian Saydee,Centre-Forward,250
6,Kell Watts,Centre-Back,200
7,Remi Matthews,Goalkeeper,350
8,Bukayo Saka,Right Winger,110.00
9,Enzo Fernández,Defensive Midfield,85.00
10,Martin Ødegaard,Attacking Midfield,80.00
11,Marcus Rashford,Left Winger,80.00
12,Gabriel Martinelli,Left Winger,70.00
13,Mohamed Salah,Right Winger,70.00
14,Antony,Right Winger,70.00
15,Trent Alexander-Arnold,Right-Back,65.00
16,Mason Mount,Attacking Midfield,65.00
17,Heung-min Son,Left Winger,60.00
18,Raheem Sterling,Left Winger,60.00
19,Kai Havertz,Attacking Midfield,60.00
20,Mykhaylo Mudryk,Left Winger,60.00
21,William Saliba,Centre-Back,55.00
22,Dejan Kulusevski,Right Winger,55.00
23,Jadon Sancho,Left Winger,55.00
24,Moisés Caicedo,Defensive Midfield,55.00
