,player_name,position,market_value
0,Pierre-Emile Höjbjerg,Central Midfield,45.00
1,Mateo Kovacic,Central Midfield,40.00
2,Rodrigo Bentancur,Central Midfield,40.00
3,Anthony Gordon,Left Winger,40.00
4,Rúben Neves,Defensive Midfield,40.00
5,Raphaël Varane,Centre-Back,40.00
6,Emile Smith Rowe,Attacking Midfield,38.00
7,Thomas Partey,Defensive Midfield,38.00
8,Ibrahima Konaté,Centre-Back,35.00
9,Marc Guéhi,Centre-Back,35.00
10,Harvey Elliott,Attacking Midfield,35.00
11,Jorginho,Defensive Midfield,35.00
12,Douglas Luiz,Central Midfield,35.00
13,Joachim Andersen,Centre-Back,32.00
14,Harvey Barnes,Left Winger,32.00
15,Pedro Neto,Right Winger,32.00
16,Ollie Watkins,Centre-Forward,32.00
17,Robert Sánchez,Goalkeeper,32.00
18,Conor Gallagher,Central Midfield,32.00
19,Armando Broja,Centre-Forward,30.00
20,Eberechi Eze,Attacking Midfield,30.00
21,Cheick Doucouré,Defensive Midfield,30.00
22,Riyad Mahrez,Right Winger,30.00
23,Brenden Aaronson,Attacking Midfield,30.00
24,Joe Gomez,Centre-Back,30.00
