,player_name,position,market_value
0,Felipe,Centre-Back,3.00
1,Erling Haaland,Centre-Forward,170.00
2,Phil Foden,Left Winger,110.00
3,Harry Kane,Centre-Forward,90.00
4,Kevin De Bruyne,Attacking Midfield,80.00
5,Bernardo Silva,Attacking Midfield,80.00
6,Declan Rice,Defensive Midfield,80.00
7,Rodri,Defensive Midfield,80.00
8,Rúben Dias,Centre-Back,75.00
9,Gabriel Jesus,Centre-Forward,75.00
10,Luis Díaz,Left Winger,75.00
11,Bruno Fernandes,Attacking Midfield,75.00
12,Reece James,Right-Back,70.00
13,Darwin Núñez,Centre-Forward,70.00
14,Jack Grealish,Left Winger,70.00
15,Wesley Fofana,Centre-Back,65.00
16,Bruno Guimarães,Defensive Midfield,60.00
17,James Maddison,Attacking Midfield,55.00
18,Diogo Jota,Left Winger,55.00
19,Alexander Isak,Centre-Forward,50.00
20,Casemiro,Defensive Midfield,50.00
21,Lisandro Martínez,Centre-Back,50.00
22,Matheus Nunes,Central Midfield,45.00
23,Lucas Paquetá,Attacking Midfield,45.00
24,Ederson,Goalkeeper,45.00
