,player_name,position,market_value
0,Ilya Zabarnyi,Centre-Back,18.00
1,Thilo Kehrer,Centre-Back,18.00
2,Solly March,Right Winger,18.00
3,Naby Keïta,Central Midfield,17.00
4,Donny van de Beek,Central Midfield,17.00
5,Lucas Digne,Left-Back,17.00
6,Curtis Jones,Central Midfield,17.00
7,Paul Onuachu,Centre-Forward,17.00
8,Leander Dendoncker,Defensive Midfield,17.00
9,Pablo Sarabia,Right Winger,16.00
10,Andreas Pereira,Attacking Midfield,16.00
11,Nélson Semedo,Right-Back,15.00
12,Harry Souttar,Centre-Back,15.00
13,Marc Roca,Defensive Midfield,15.00
14,Arthur Melo,Central Midfield,15.00
15,Ben Godfrey,Centre-Back,15.00
16,Caglar Söyüncü,Centre-Back,15.00
17,Tosin Adarabioyo,Centre-Back,15.00
18,Keane Lewis-Potter,Left Winger,15.00
19,Rico Lewis,Right-Back,15.00
20,Philippe Coutinho,Left Winger,14.00
21,Jan Bednarek,Centre-Back,14.00
22,Daniel James,Right Winger,13.00
23,Harry Wilson,Right Winger,13.00
24,Stefan Bajcetic,Defensive Midfield,13.00
