,player_name,position,market_value
0,Mark Travers,Goalkeeper,2.00
1,Luke Ayling,Right-Back,2.00
2,Daniel Iversen,Goalkeeper,2.00
3,Alex McCarthy,Goalkeeper,2.00
4,Ryan Fredericks,Right-Back,2.00
5,Stuart Dallas,Right-Back,2.00
6,Phil Jones,Centre-Back,2.00
7,Robin Olsen,Goalkeeper,2.00
8,James Milner,Central Midfield,2.00
9,Joel Ward,Right-Back,2.00
10,João Moutinho,Central Midfield,2.00
11,Adam Forshaw,Central Midfield,1.80
12,Theo Walcott,Right Winger,1.80
13,Ben Mee,Centre-Back,1.80
14,Matt Ritchie,Right Midfield,1.80
15,Zanka,Centre-Back,1.50
16,Jack Butland,Goalkeeper,1.50
17,Adam Smith,Right-Back,1.50
18,Fraser Forster,Goalkeeper,1.50
19,Loris Karius,Goalkeeper,1.50
20,Vicente Guaita,Goalkeeper,1.50
21,Adam Lallana,Attacking Midfield,1.50
22,Seamus Coleman,Right-Back,1.20
23,Joel Robles,Goalkeeper,1.20
24,Paul Dummett,Left-Back,1.20
