,player_name,position,market_value
0,Christian Pulisic,Right Winger,32.00
1,Nayef Aguerd,Centre-Back,32.00
2,Jacob Ramsey,Central Midfield,32.00
3,Wilfred Ndidi,Defensive Midfield,32.00
4,Matheus Cunha,Centre-Forward,30.00
5,Aymeric Laporte,Centre-Back,30.00
6,Youri Tielemans,Central Midfield,30.00
7,Morgan Gibbs-White,Attacking Midfield,30.00
8,Brennan Johnson,Attacking Midfield,30.00
9,Noni Madueke,Right Winger,28.00
10,Kurt Zouma,Centre-Back,28.00
11,John McGinn,Central Midfield,27.00
12,Fábio Vieira,Attacking Midfield,27.00
13,Arnaut Danjuma,Left Winger,27.00
14,Michael Olise,Right Winger,27.00
15,Wilfried Zaha,Left Winger,27.00
16,Gianluca Scamacca,Centre-Forward,27.00
17,Eddie Nketiah,Centre-Forward,25.00
18,Alejandro Garnacho,Left Winger,25.00
19,Emerson Royal,Right-Back,25.00
20,Kiernan Dewsbury-Hall,Central Midfield,25.00
21,Eric Dier,Centre-Back,25.00
22,Yves Bissouma,Central Midfield,25.00
23,David Raya,Goalkeeper,25.00
24,Kalidou Koulibaly,Centre-Back,25.00
